Country,Frequency
russians,4
newark liberty international airport,1
constitutional amendment,1
lester holt,1
little haiti,1
japan,8
baltimore,1
internal revenue service,1
islamism,1
muammar gaddafi,2
lester b. pearson,1
john f. kennedy international airport,1
neil cavuto,1
clinton foundation,1
united states house of representatives,4
united states department of state,1
russia,34
north korea,5
latin america,2
brooklyn,1
les brown (bandleader),2
latin,2
new york (state),1
cat stevens,1
chicago,13
abraham lincoln,3
new hampshire,1
africa,1
north carolina,2
chris dodd,1
federal reserve system,5
islamophobia,1
iran,27
ronald reagan,3
iraq,20
fraternal order of police,1
vietnam,1
jonathan gruber (economist),1
bernie sanders,10
pennsylvania,3
los angeles international airport,1
bill clinton,19
aleppo,4
anderson cooper,1
middle east,10
george s. patton,2
old post office pavilion,2
bashar al-assad,10
internet access,3
national rifle association,2
saudi arabia,7
errol flynn,1
pennsylvania avenue,3
supreme court of the united states,2
ruth bader ginsburg,1
united states,52
wolf blitzer,1
kenya,1
jon lester,1
isis (bluewater comics),2
john b. anderson,1
philadelphia,1
hispanic,3
west virginia,1
michelle obama,2
the wall street journal,1
detroit,1
mosul,26
donald trump,4
nato,13
europe,1
fox news channel,1
janet yellen,1
john kerry,2
cnn,2
michigan,2
patti solis doyle,2
facebook,1
syria,14
gillian anderson,2
benjamin netanyahu,1
libya,4
dubai,1
mexico,8
wikileaks,3
2015 san bernardino attack,2
new york city,2
lester frank ward,1
madison avenue,1
united states senate,2
paula jones,1
marshall-newman amendment,1
north american free trade agreement,12
gulf war,1
debbie wasserman schultz,1
lester young,1
hilary duff,3
dallas,1
shooting of michael brown,1
florida,3
lester maddox,1
les paul,1
barack obama,39
trans-pacific partnership,3
lester r. brown,1
south korea,4
ohio,5
douglas macarthur,3
yemen,1
goldman sachs,1
chris christie,3
kia stevens,2
the new york times,3
democratic party (united states),2
upstate new york,1
michael bloomberg,1
rudy giuliani,1
al-raqqah,1
isis gee,1
john podesta,2
federal bureau of investigation,5
isis (band),4
united states department of justice,2
democratic national committee,3
united states border patrol,1
canada,1
gerald ford,1
isis king,5
vladimir putin,15
the secrets of isis,5
benghazi,1
canadians,1
howard stern,1
arizona,1
germany,4
orlando, florida,1
warren buffett,3
the mcclatchy company,2
sean hannity,8
india,1
hillary clinton,57
trojan war,1
laguardia airport,1
islam,6
united states congress,3
paris,1
chris brown,1
isis (journal),1
new england,1
sidney blumenthal,5
united states environmental protection agency,3
african americans,7
palm beach, florida,1
rosie o'donnell,1
haiti,2
petroleum ether,2
isis,25
antonin scalia,3
washington, d.c.,3
george soros,4
district of columbia v. heller,1
afl–cio,1
qatar,2
china,15
white house,3
Total,725
earth,1
queens,1
republican party (united states),4
west palm beach, florida,1
