Country,Frequency
newark liberty international airport,1
russians,1
lester holt,2
japan,6
internal revenue service,2
lester b. pearson,1
john f. kennedy international airport,1
muammar gaddafi,1
osama bin laden,1
neil cavuto,1
russia,12
north korea,5
brooklyn,1
latin america,1
les brown (bandleader),2
tulsa, oklahoma,1
chicago,9
islam in the united states,1
africa,1
north carolina,2
federal reserve system,5
iran,19
ronald reagan,2
iraq,10
fraternal order of police,1
hong kong,1
bernie sanders,2
pennsylvania,1
los angeles international airport,1
bill clinton,16
minnesota,1
middle east,8
turkey,1
internet access,3
national rifle association,1
saudi arabia,4
pennsylvania avenue,2
united states,37
world wide web,1
wolf blitzer,1
kenya,1
jon lester,1
isis (bluewater comics),2
alicia machado,1
philadelphia,1
hispanic,1
new jersey,1
the wall street journal,1
michelle obama,1
detroit,1
donald trump,29
nato,14
fox news channel,1
europe,3
janet yellen,1
john kerry,2
cnn,2
george w. bush,2
michigan,2
patti solis doyle,2
syria,2
benjamin netanyahu,1
dubai,1
libya,2
democratic national convention,1
mexico,5
new york city,4
lester frank ward,1
madison avenue,1
afghanistan,1
marshall-newman amendment,1
united states senate,1
north american free trade agreement,6
debbie wasserman schultz,1
lester young,5
dallas,1
shooting of michael brown,1
florida,1
lester maddox,2
les paul,2
barack obama,16
lester r. brown,1
trans-pacific partnership,1
south korea,3
ohio,3
douglas macarthur,1
yemen,1
the new york times,2
democratic party (united states),3
hofstra university,1
michael bloomberg,1
rudy giuliani,1
al-raqqah,1
isis (band),2
east asia,1
united states department of justice,2
dominican republic–central america free trade agreement,1
democratic national committee,4
donald rumsfeld,2
gerald ford,1
the secrets of isis,3
vladimir putin,3
howard stern,1
germany,1
the mcclatchy company,2
sean hannity,8
hillary clinton,14
laguardia airport,1
islam,5
al-qaeda,1
new england,1
sidney blumenthal,3
african americans,3
palm beach, florida,1
rosie o'donnell,1
petroleum ether,1
isis,15
baghdadi jews,1
afl–cio,1
qatar,1
china,12
white house,2
Total,411
queens,1
republican party (united states),3
