Country,Frequency
newark liberty international airport,1
russians,6
georgia (country),1
lester holt,2
japan,6
fort wayne, indiana,1
internal revenue service,2
united nations,1
christianity,3
poland,1
lester b. pearson,1
john f. kennedy international airport,1
muammar gaddafi,1
osama bin laden,3
neil cavuto,1
clinton foundation,8
world war ii,1
united states house of representatives,2
russia,32
north korea,7
brooklyn,1
latin america,1
les brown (bandleader),2
tehran,1
tulsa, oklahoma,1
chicago,11
fallujah,1
isis pogson,1
islam in the united states,1
africa,1
north carolina,5
keith olbermann,1
federal reserve system,5
iran,35
ronald reagan,4
iraq,16
fraternal order of police,2
hong kong,1
bernie sanders,2
pennsylvania,1
los angeles international airport,1
bill clinton,20
aleppo,5
minnesota,1
middle east,10
turkey,1
farmville, virginia,1
ukraine,6
internet access,3
national rifle association,1
bashar al-assad,1
saudi arabia,4
korean peninsula,1
pennsylvania avenue,2
united states,127
world wide web,1
wolf blitzer,1
kim jong-un,1
kenya,1
jon lester,1
isis (bluewater comics),3
alicia machado,1
tim kaine,17
philadelphia,1
hispanic,1
new jersey,1
the wall street journal,1
michelle obama,1
united states department of defense,1
detroit,1
donald trump,76
nato,14
fox news channel,1
europe,3
janet yellen,1
john kerry,2
cnn,2
george w. bush,2
michigan,2
patti solis doyle,2
jews,1
syria,16
benjamin netanyahu,2
dubai,1
libya,2
asian americans,1
democratic national convention,1
mexico,6
new york city,4
lester frank ward,1
indian national congress,1
madison avenue,1
afghanistan,1
marshall-newman amendment,1
united states senate,3
north american free trade agreement,6
debbie wasserman schultz,1
lester young,5
dallas,1
shooting of michael brown,1
florida,1
lester maddox,2
les paul,2
barack obama,28
lester r. brown,1
trans-pacific partnership,1
south korea,3
ohio,3
douglas macarthur,1
hoosier,1
yemen,1
the new york times,3
elaine chao,4
democratic party (united states),5
southern indiana,1
hofstra university,1
michael bloomberg,1
rudy giuliani,1
al-raqqah,3
mother teresa,1
oval office,1
federal bureau of investigation,3
elaine pagels,1
elaine may,1
isis (band),2
east asia,1
united states department of justice,2
dominican republic–central america free trade agreement,1
democratic national committee,4
donald rumsfeld,2
gerald ford,1
united states bill of rights,1
virginia,3
the secrets of isis,3
vladimir putin,6
howard stern,1
arizona,1
germany,2
crimea,5
social security administration,3
the mcclatchy company,2
sean hannity,8
liberty university,1
hillary clinton,65
iraq war,3
laguardia airport,1
islam,5
al-qaeda,2
united states congress,4
isis (journal),3
paris,2
czech republic,1
new england,1
sidney blumenthal,3
tim mcgraw,1
elaine paige,5
south china sea,1
lance armstrong,1
united states senate committee on foreign relations,1
african americans,3
palm beach, florida,1
scranton, pennsylvania,1
rosie o'donnell,1
petroleum ether,1
isis,19
baghdadi jews,1
medicare (united states),2
scott brown,1
washington, d.c.,5
afl–cio,1
qatar,1
china,12
white house,2
newcastle upon tyne,1
Total,842
earth,1
associated press,1
queens,1
republican party (united states),6
indiana,10
commission on presidential debates,1
