Country,Frequency
iranian americans,1
newark liberty international airport,1
elaine e. bucklo,1
georgia (country),3
society of jesus,2
lester holt,2
japan,9
united methodist church,1
lester b. pearson,1
john f. kennedy international airport,1
muammar gaddafi,2
osama bin laden,9
world war ii,1
united states house of representatives,2
brooklyn,1
les brown (bandleader),2
tulsa, oklahoma,1
chicago,12
fallujah,1
ronald reagan,7
fraternal order of police,2
hong kong,1
richard nixon,3
irish americans,1
bernie sanders,2
los angeles international airport,1
minnesota,2
middle east,11
turkey,1
ukraine,9
internet access,3
bashar al-assad,1
korean peninsula,1
pennsylvania avenue,2
united states,159
miss universe,1
wolf blitzer,1
kenya,1
federal government of the united states,1
jon lester,1
national guard of the united states,2
isis (bluewater comics),3
alicia machado,1
tim kaine,17
philadelphia,1
hispanic,1
united states department of defense,2
detroit,1
donald trump,158
fox news channel,1
janet yellen,1
john kerry,2
michigan,2
patti solis doyle,2
soviet union,1
syria,21
benjamin netanyahu,2
dubai,1
libya,2
asian americans,1
new york city,4
roe v. wade,7
madison avenue,1
afghanistan,2
marshall-newman amendment,1
united states senate,5
debbie wasserman schultz,1
shooting of michael brown,1
florida,2
les paul,2
kgb,1
arkansas,1
trans-pacific partnership,1
south korea,5
united states marine corps,1
ohio,3
new start,1
douglas macarthur,1
hoosier,2
gadi eizenkot,1
democratic party (united states),6
aids,1
rudy giuliani,1
mother teresa,1
elaine pagels,1
elaine may,3
isis (band),2
united states department of justice,2
mike pence,28
democratic national committee,4
children's defense fund,1
korea,1
honduras,1
isis king,1
the secrets of isis,3
vladimir putin,25
united nations security council,2
the pentagon,1
germany,2
crimea,7
the mcclatchy company,2
john mccain,5
hillary clinton,113
iraq war,3
laguardia airport,1
united states congress,7
isis (journal),3
little league baseball,1
new england,1
sidney blumenthal,3
mexicans,6
september 11 attacks,1
united states senate committee on foreign relations,2
african americans,6
palm beach, florida,1
rosie o'donnell,1
elaine morgan (writer),1
medicare (united states),2
washington, d.c.,5
afl–cio,1
china,19
newcastle upon tyne,1
israel,2
associated press,1
republican party (united states),11
indiana,12
saddam hussein,1
russians,7
constitutional amendment,2
abu bakr al-baghdadi,1
fort wayne, indiana,1
internal revenue service,2
united nations,2
christianity,3
poland,1
elaine stritch,2
neil cavuto,1
clinton foundation,10
twitter,2
united states department of state,1
methodism,1
russia,52
scott walker,1
north korea,12
latin america,1
tehran,1
latin,1
isis pogson,1
islam in the united states,1
africa,1
north carolina,5
keith olbermann,1
federal reserve system,5
iran,42
iraq,21
pennsylvania,1
bill clinton,23
aleppo,6
american red cross,1
hoosiers,1
farmville, virginia,2
brown v. board of education,1
national rifle association,1
lgbt,1
saudi arabia,7
world wide web,2
kim jong-un,2
phoenix, arizona,1
ponzi scheme,1
new jersey,1
trump university,1
the wall street journal,1
michelle obama,1
nato,18
europe,3
cnn,2
george w. bush,4
jews,1
mount rushmore,1
irish catholic,1
democratic national convention,1
mexico,9
lester frank ward,1
indian national congress,1
north american free trade agreement,6
lester young,5
dallas,1
rockhurst high school,1
lester maddox,2
barbara rose johns,2
barack obama,33
kansas city, missouri,1
lester r. brown,1
yemen,1
the new york times,5
elaine chao,14
virginians,1
israel defense forces,1
united states senate committee on armed services,1
southern indiana,1
hofstra university,1
michael bloomberg,1
al-raqqah,3
oval office,1
federal bureau of investigation,5
bank of china,1
east asia,1
richmond, virginia,1
dominican republic–central america free trade agreement,1
south carolina,1
donald rumsfeld,2
robert russa moton museum,1
gerald ford,1
united states bill of rights,1
virginia,11
howard stern,1
arizona,1
gonzalo p. curiel,1
social security administration,8
virginia tech shooting,3
romania,1
sean hannity,8
liberty university,1
islam,6
al-qaeda,3
paris,2
czech republic,1
liviu librescu,1
tim mcgraw,1
elaine paige,10
south china sea,1
lance armstrong,1
scranton, pennsylvania,1
elaine, arkansas,2
petroleum ether,1
gospel of matthew,1
isis,19
baghdadi jews,1
longwood university,1
scott brown,1
elaine marshall,1
united states court of appeals for the seventh circuit,1
qatar,1
white house,2
democratic-republican party,1
Total,1308
earth,2
syrians,1
queens,1
catholic church,1
commission on presidential debates,1
